,EmployeeID,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgWorkedHours,ScheduleInconsistency,Absences
43,44,No,18,Travel_Rarely,Sales,7,3,Life Sciences,1,Research Scientist,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,7.008055555555556,0.31374000894032705,9
44,45,No,28,Travel_Rarely,Research & Development,9,3,Medical,1,Sales Representative,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,7.201502732240438,0.2946549037223322,5
45,46,No,31,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Manufacturing Director,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,7.173680555555555,0.3074245161668667,9
46,47,No,39,Travel_Rarely,Sales,5,4,Marketing,2,Human Resources,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,7.635390070921986,0.3114509271072668,14
47,48,No,36,Non-Travel,Research & Development,5,4,Life Sciences,1,Sales Executive,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7.832911392405063,0.29592451319894425,12
48,49,No,32,Travel_Rarely,Sales,2,3,Marketing,2,Laboratory Technician,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.9749632892804705,0.31000755698452964,22
49,50,No,38,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Research Scientist,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.906798245614035,0.2891960224694088,21
50,51,No,58,Non-Travel,Research & Development,2,3,Life Sciences,2,Manufacturing Director,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.895247933884296,0.3035021448615878,7
51,52,No,31,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Research Scientist,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9.12433192686357,0.3024684916895805,12
52,53,No,31,Travel_Rarely,Sales,7,4,Marketing,2,Sales Executive,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.8311715481171555,0.27893038686267674,10
53,54,No,45,Travel_Frequently,Research & Development,3,1,Medical,1,Sales Executive,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,7.315889830508475,0.3105802374715444,13
54,55,No,31,Travel_Rarely,Sales,16,4,Marketing,2,Research Scientist,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.610109289617487,0.3111216954300278,5
55,56,No,33,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Research Director,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.784669479606189,0.29470534203357013,12
56,57,No,39,Travel_Rarely,Sales,1,4,Life Sciences,1,Sales Executive,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.9856462585034,0.31566307426472157,4
57,58,No,43,Travel_Frequently,Research & Development,7,4,Medical,4,Research Scientist,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.686930983847284,0.30111642264195826,22
58,59,No,49,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Manufacturing Director,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.948902606310014,0.31259739497740446,6
59,60,Yes,52,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Research Scientist,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.906206415620641,0.31213608795185727,10
60,61,No,27,Travel_Rarely,Research & Development,15,4,Medical,3,Research Scientist,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.67158469945355,0.3007404987059208,5
61,62,No,32,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Research Scientist,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.495606694560669,0.29168388732872425,10
62,63,No,27,Travel_Rarely,Research & Development,13,2,Medical,4,Research Director,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,10.069624819624819,0.3120817989484105,18
63,64,No,31,Travel_Rarely,Sales,24,3,Life Sciences,2,Healthcare Representative,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.606995884773663,0.29440986128373475,6
64,65,No,32,Travel_Rarely,Research & Development,7,3,Technical Degree,2,Healthcare Representative,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.498382559774965,0.2822012793024773,12
65,66,Yes,28,Travel_Rarely,Research & Development,9,4,Medical,1,Sales Executive,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.727462887989205,0.27250350539682583,2
66,67,No,30,Travel_Rarely,Research & Development,13,3,Life Sciences,4,Research Director,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,6.184841954022988,0.3008829183869113,17
67,68,No,31,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Manager,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.609324522760647,0.277761018640074,22
68,69,No,39,Travel_Frequently,Research & Development,19,4,Medical,1,Research Scientist,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,6.076608187134503,0.279525664242137,21
69,70,Yes,39,Travel_Rarely,Research & Development,1,1,Medical,1,Laboratory Technician,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.972628726287265,0.2847496093481821,3
70,71,No,33,Travel_Frequently,Sales,4,2,Life Sciences,4,Research Scientist,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.421831955922865,0.29094806438418114,7
71,72,No,47,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Healthcare Representative,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.493689986282579,0.2850151182913652,6
72,73,No,43,Travel_Frequently,Research & Development,14,3,Medical,5,Research Director,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,6.29950354609929,0.28425339037581215,14
73,74,No,27,Non-Travel,Research & Development,2,3,Life Sciences,1,Research Director,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,9.316666666666665,0.2908827850059103,18
74,75,No,54,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Research Scientist,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,6.097701149425287,0.2876396591633063,17
75,76,No,43,Travel_Rarely,Research & Development,7,2,Life Sciences,2,Manager,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,7.217016806722689,0.28537919913552456,11
76,77,No,45,Travel_Rarely,Sales,3,1,Marketing,1,Sales Executive,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,7.1,0.3012714105419188,7
77,78,No,40,Travel_Rarely,Research & Development,2,4,Other,4,Research Scientist,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.914862914862914,0.2970115186293728,18
78,79,Yes,29,Travel_Rarely,Research & Development,29,3,Medical,1,Research Scientist,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,10.477753623188406,0.3006860547974821,19
79,80,No,29,Travel_Rarely,Human Resources,8,3,Medical,3,Sales Representative,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.906903765690375,0.29381504370400524,10
80,81,No,30,Travel_Rarely,Research & Development,10,3,Life Sciences,2,Research Scientist,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.589655172413794,0.30224776676025306,17
81,82,No,27,Travel_Rarely,Research & Development,11,2,Medical,1,Manager,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,6.079234972677594,0.29365102855754577,5
82,83,No,37,Travel_Rarely,Sales,1,4,Life Sciences,2,Healthcare Representative,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,6.001271186440679,0.28682754633316476,13
83,84,No,38,Travel_Rarely,Research & Development,28,4,Medical,1,Laboratory Technician,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.983126721763085,0.3030586403604924,7
84,85,No,31,Travel_Rarely,Research & Development,6,3,Medical,3,Manager,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,,3,3,10.42626050420168,0.31214548267164366,11
85,86,No,29,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Sales Executive,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.387295081967213,0.27306658714325394,5
86,87,No,35,Travel_Rarely,Sales,16,2,Technical Degree,3,Manager,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.9120886981402005,0.290696671534559,16
87,88,No,23,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Manufacturing Director,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,7.105907172995781,0.2908356210503708,12
88,89,No,41,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Laboratory Technician,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.688423988842397,0.28668884909973236,10
89,90,No,47,Travel_Frequently,Sales,1,3,Medical,2,Laboratory Technician,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.770362622036262,0.30049402771925116,10
90,91,No,42,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Manager,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,6.284177215189873,0.29667518517824015,12
91,92,No,29,Non-Travel,Sales,22,4,Marketing,2,Human Resources,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,6.3058655221745346,0.3146084410598367,16
92,93,No,42,Travel_Rarely,Sales,7,4,Medical,3,Research Scientist,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.83172514619883,0.3095260580237775,21
93,94,No,32,Travel_Rarely,Research & Development,2,3,Medical,2,Research Scientist,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.723232323232323,0.3032871686703484,18
94,95,No,48,Travel_Rarely,Sales,13,4,Medical,4,Sales Executive,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,7.317310443490701,0.2702783239361627,16
95,96,No,37,Travel_Rarely,Research & Development,8,5,Technical Degree,2,Manufacturing Director,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.797638326585695,0.2954217318456487,2
96,97,No,30,Non-Travel,Sales,25,4,Other,1,Healthcare Representative,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.400816326530611,0.3042283503662192,4
97,98,No,26,Travel_Rarely,Sales,28,3,Medical,5,Laboratory Technician,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.994581618655693,0.3027675213886146,6
98,99,No,42,Travel_Rarely,Sales,2,2,Medical,1,Laboratory Technician,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,6.113598326359833,0.32084684910868766,10
99,100,Yes,21,Travel_Frequently,Research & Development,9,3,Medical,4,Manufacturing Director,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,8.134153005464482,0.29727705104411967,5
100,101,No,36,Non-Travel,Human Resources,28,3,Human Resources,2,Laboratory Technician,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,7.305675287356322,0.32235532250712445,17
101,102,No,36,Travel_Frequently,Research & Development,6,3,Life Sciences,2,Research Scientist,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,7.105392156862746,0.3047018874855738,11
102,103,No,57,Travel_Rarely,Research & Development,21,4,Life Sciences,5,Research Scientist,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,6.327517730496454,0.2953088442891894,14
103,104,No,40,Travel_Rarely,Research & Development,8,3,Other,2,Sales Executive,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,8.127825464949929,0.28578121570940757,16
104,105,No,21,Non-Travel,Research & Development,1,5,Life Sciences,2,Manager,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,7.986608442503639,0.26702159150795535,20
105,106,Yes,33,Travel_Rarely,Human Resources,28,2,Human Resources,5,Manager,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,10.509163059163058,0.3064780332414067,18
106,107,No,37,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Research Scientist,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,7.993362193362193,0.2910467733463538,18
107,108,No,46,Non-Travel,Sales,2,4,Marketing,2,Laboratory Technician,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,6.104459064327486,0.27516316226582793,21
108,109,Yes,41,Travel_Frequently,Research & Development,16,1,Medical,1,Research Scientist,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,7.587339055793991,0.2806987261884186,16
109,110,No,50,Travel_Rarely,Research & Development,9,3,Medical,3,Laboratory Technician,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,6.890144927536233,0.3038353518354879,19
110,111,Yes,40,Travel_Rarely,Research & Development,8,3,Medical,1,Healthcare Representative,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,9.296082621082618,0.3184909080505889,15
111,112,No,31,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Human Resources,28670,0.0,24,0,3.0,5,2,2,2,,2.0,3.0,3,4,10.806639566395663,0.2817085554185707,3
112,113,Yes,21,Travel_Rarely,Human Resources,10,2,Human Resources,1,Laboratory Technician,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,5.994130434782609,0.31082031466897725,19
113,114,No,29,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Research Director,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,7.788639455782313,0.2949867734975237,4
114,115,No,35,Travel_Rarely,Research & Development,29,3,Life Sciences,3,Sales Executive,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,7.718220338983051,0.27374080218392616,13
115,116,No,27,Travel_Rarely,Sales,2,3,Life Sciences,1,Sales Executive,23670,,12,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,6.189672364672364,0.2822317061563697,15
116,117,No,28,Travel_Rarely,Research & Development,2,2,Medical,3,Manager,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,7.121336206896552,0.32381671710285054,17
117,118,No,49,Travel_Rarely,Sales,2,3,Technical Degree,2,Manufacturing Director,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,7.824791666666668,0.27585297534126707,9
118,119,No,51,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Sales Executive,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,7.61907894736842,0.30743353709741095,21
119,120,No,36,Travel_Rarely,Sales,15,2,Life Sciences,1,Sales Executive,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,6.002777777777778,0.27862797240863485,15
120,121,Yes,34,Non-Travel,Research & Development,7,3,Life Sciences,1,Sales Representative,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,9.113687943262413,0.29650544192084843,14
121,122,No,55,Travel_Rarely,Sales,26,3,Marketing,1,Laboratory Technician,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,8.684039548022598,0.3224669070730119,13
122,123,No,24,Travel_Rarely,Research & Development,1,3,Life Sciences,5,Manager,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,9.993115942028988,0.2921595439444558,19
123,124,No,30,Travel_Rarely,Research & Development,3,3,Life Sciences,2,Manager,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,6.9011544011544,0.2849202055643491,18
124,125,Yes,26,Travel_Frequently,Sales,14,3,Life Sciences,2,Manager,75100,0.0,18,3,7.0,3,6,0,4,3.0,,3.0,3,3,6.999791666666666,0.30388869052146683,9
125,126,No,22,Travel_Rarely,Research & Development,16,5,Other,1,Research Scientist,29910,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,6.286363636363634,0.31372784495146094,18
126,127,No,36,Travel_Rarely,Research & Development,1,3,Medical,5,Healthcare Representative,196360,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,6.366666666666666,0.30507323686180804,13
127,128,Yes,30,Travel_Frequently,Sales,3,2,Marketing,3,Research Scientist,11290,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,8.191805555555556,0.2963473299510824,9
128,129,No,37,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Sales Executive,133410,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,6.451805555555556,0.31507491638037277,9
129,130,No,40,Travel_Rarely,Research & Development,6,2,Medical,3,Research Scientist,43320,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,6.682971014492753,0.30157175083049603,19
130,131,No,42,Travel_Rarely,Research & Development,2,3,Medical,4,Manager,110310,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,7.483333333333333,0.2918312605489168,14
131,132,No,37,Travel_Rarely,Sales,9,1,Marketing,3,Sales Executive,44400,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,9.919863945578232,0.3126000677397117,4
132,133,No,43,Travel_Rarely,Sales,10,2,Life Sciences,1,Sales Executive,46170,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,7.416453900709221,0.2934529126470706,14
133,134,No,40,Travel_Rarely,Sales,6,2,Life Sciences,1,Laboratory Technician,26470,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,7.494817927170869,0.29463969275851365,11
134,135,No,54,Travel_Rarely,Human Resources,9,3,Life Sciences,2,Manufacturing Director,63230,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,5.998531571218796,0.28737132489487155,22
135,136,No,34,Non-Travel,Research & Development,28,3,Medical,1,Laboratory Technician,56770,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,6.860185185185185,0.2735481642875339,15
