,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
33,34,36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,3,Sales Executive,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,No
34,35,31,No,Travel_Frequently,Research & Development,9,4,Medical,35,1,Sales Executive,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,No
35,36,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,2,Manager,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,Yes
36,37,37,No,Travel_Frequently,Sales,9,1,Marketing,37,1,Laboratory Technician,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,No
37,38,42,No,Travel_Frequently,Sales,2,2,Marketing,38,3,Research Director,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,No
38,39,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,1,Sales Executive,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,Yes
39,40,35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,1,Laboratory Technician,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,No
40,41,36,No,Travel_Frequently,Research & Development,8,3,Other,41,3,Sales Executive,69620,4.0,12,2,4.0,2,1,0,0,3.0,,3.0,2,3,No
41,42,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,2,Laboratory Technician,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,No
42,43,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,1,Laboratory Technician,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,No
43,44,18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,1,Research Scientist,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,No
44,45,28,No,Travel_Rarely,Research & Development,9,3,Medical,45,1,Sales Representative,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,No
45,46,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,1,Manufacturing Director,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,No
46,47,39,No,Travel_Rarely,Sales,5,4,Marketing,47,2,Human Resources,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,No
47,48,36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,1,Sales Executive,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,No
48,49,32,No,Travel_Rarely,Sales,2,3,Marketing,49,2,Laboratory Technician,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,No
49,50,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,3,Research Scientist,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,No
50,51,58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,2,Manufacturing Director,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,No
51,52,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,3,Research Scientist,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,No
52,53,31,No,Travel_Rarely,Sales,7,4,Marketing,53,2,Sales Executive,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,No
53,54,45,No,Travel_Frequently,Research & Development,3,1,Medical,54,1,Sales Executive,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,No
54,55,31,No,Travel_Rarely,Sales,16,4,Marketing,55,2,Research Scientist,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,No
55,56,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,4,Research Director,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,No
56,57,39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,1,Sales Executive,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,No
57,58,43,No,Travel_Frequently,Research & Development,7,4,Medical,58,4,Research Scientist,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,No
58,59,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,3,Manufacturing Director,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,No
59,60,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,2,Research Scientist,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,Yes
60,61,27,No,Travel_Rarely,Research & Development,15,4,Medical,61,3,Research Scientist,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,No
61,62,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,3,Research Scientist,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,No
62,63,27,No,Travel_Rarely,Research & Development,13,2,Medical,63,4,Research Director,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,No
63,64,31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,2,Healthcare Representative,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,No
64,65,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,2,Healthcare Representative,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,No
65,66,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,1,Sales Executive,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,Yes
66,67,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,4,Research Director,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,No
67,68,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,1,Manager,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,No
68,69,39,No,Travel_Frequently,Research & Development,19,4,Medical,69,1,Research Scientist,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,No
69,70,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,1,Laboratory Technician,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,Yes
70,71,33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,4,Research Scientist,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,No
71,72,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,2,Healthcare Representative,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,No
72,73,43,No,Travel_Frequently,Research & Development,14,3,Medical,73,5,Research Director,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,No
73,74,27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,1,Research Director,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,No
74,75,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,2,Research Scientist,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,No
75,76,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,2,Manager,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,No
76,77,45,No,Travel_Rarely,Sales,3,1,Marketing,77,1,Sales Executive,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,No
77,78,40,No,Travel_Rarely,Research & Development,2,4,Other,78,4,Research Scientist,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,No
78,79,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,1,Research Scientist,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,Yes
79,80,29,No,Travel_Rarely,Human Resources,8,3,Medical,80,3,Sales Representative,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,No
80,81,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,2,Research Scientist,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,No
81,82,27,No,Travel_Rarely,Research & Development,11,2,Medical,82,1,Manager,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,No
82,83,37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,2,Healthcare Representative,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,No
83,84,38,No,Travel_Rarely,Research & Development,28,4,Medical,84,1,Laboratory Technician,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,No
84,85,31,No,Travel_Rarely,Research & Development,6,3,Medical,85,3,Manager,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,,3,3,No
85,86,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,3,Sales Executive,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,No
86,87,35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,3,Manager,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,No
87,88,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,1,Manufacturing Director,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,No
88,89,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,1,Laboratory Technician,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,No
89,90,47,No,Travel_Frequently,Sales,1,3,Medical,90,2,Laboratory Technician,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,No
90,91,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,1,Manager,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,No
91,92,29,No,Non-Travel,Sales,22,4,Marketing,92,2,Human Resources,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,No
92,93,42,No,Travel_Rarely,Sales,7,4,Medical,93,3,Research Scientist,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,No
93,94,32,No,Travel_Rarely,Research & Development,2,3,Medical,94,2,Research Scientist,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,No
94,95,48,No,Travel_Rarely,Sales,13,4,Medical,95,4,Sales Executive,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,No
95,96,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,2,Manufacturing Director,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,No
96,97,30,No,Non-Travel,Sales,25,4,Other,97,1,Healthcare Representative,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,No
97,98,26,No,Travel_Rarely,Sales,28,3,Medical,98,5,Laboratory Technician,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,No
98,99,42,No,Travel_Rarely,Sales,2,2,Medical,99,1,Laboratory Technician,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,No
99,100,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,4,Manufacturing Director,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,Yes
100,101,36,No,Non-Travel,Human Resources,28,3,Human Resources,101,2,Laboratory Technician,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,No
101,102,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,2,Research Scientist,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,No
102,103,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,5,Research Scientist,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,No
103,104,40,No,Travel_Rarely,Research & Development,8,3,Other,104,2,Sales Executive,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,No
104,105,21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,2,Manager,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,No
105,106,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,5,Manager,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,Yes
106,107,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,4,Research Scientist,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,No
107,108,46,No,Non-Travel,Sales,2,4,Marketing,108,2,Laboratory Technician,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,No
108,109,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,1,Research Scientist,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,Yes
109,110,50,No,Travel_Rarely,Research & Development,9,3,Medical,110,3,Laboratory Technician,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,No
110,111,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,1,Healthcare Representative,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,Yes
111,112,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,4,Human Resources,28670,0.0,24,0,3.0,5,2,2,2,,2.0,3.0,3,4,No
112,113,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,1,Laboratory Technician,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,Yes
113,114,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,2,Research Director,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,No
114,115,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,3,Sales Executive,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,No
115,116,27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,1,Sales Executive,23670,,12,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,No
116,117,28,No,Travel_Rarely,Research & Development,2,2,Medical,117,3,Manager,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,No
117,118,49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,2,Manufacturing Director,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,No
118,119,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,1,Sales Executive,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,No
119,120,36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,1,Sales Executive,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,No
120,121,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,1,Sales Representative,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,Yes
121,122,55,No,Travel_Rarely,Sales,26,3,Marketing,122,1,Laboratory Technician,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,No
122,123,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,5,Manager,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,No
123,124,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,2,Manager,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,No
124,125,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,2,Manager,75100,0.0,18,3,7.0,3,6,0,4,3.0,,3.0,3,3,Yes
125,126,22,No,Travel_Rarely,Research & Development,16,5,Other,126,1,Research Scientist,29910,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,No
126,127,36,No,Travel_Rarely,Research & Development,1,3,Medical,127,5,Healthcare Representative,196360,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,No
127,128,30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,3,Research Scientist,11290,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,Yes
128,129,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,1,Sales Executive,133410,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,No
129,130,40,No,Travel_Rarely,Research & Development,6,2,Medical,130,3,Research Scientist,43320,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,No
130,131,42,No,Travel_Rarely,Research & Development,2,3,Medical,131,4,Manager,110310,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,No
131,132,37,No,Travel_Rarely,Sales,9,1,Marketing,132,3,Sales Executive,44400,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,No
132,133,43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,1,Sales Executive,46170,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,No
133,134,40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,1,Laboratory Technician,26470,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,No
134,135,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,135,2,Manufacturing Director,63230,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,No
135,136,34,No,Non-Travel,Research & Development,28,3,Medical,136,1,Laboratory Technician,56770,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,No
136,137,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,137,3,Sales Executive,21870,1.0,15,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,No
137,138,43,No,Travel_Frequently,Sales,14,3,Life Sciences,138,1,Manufacturing Director,37480,7.0,14,2,,3,3,1,2,4.0,4.0,3.0,2,3,No
138,139,43,No,Travel_Rarely,Sales,27,4,Life Sciences,139,2,Sales Representative,39770,4.0,18,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3,No
139,140,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,140,1,Manufacturing Director,86330,1.0,19,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3,No
140,141,37,No,Non-Travel,Research & Development,1,3,Medical,141,3,Laboratory Technician,20080,3.0,22,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4,No
141,142,31,No,Travel_Rarely,Research & Development,24,1,Medical,142,3,Laboratory Technician,44400,1.0,13,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3,No
142,143,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,143,1,Sales Executive,30670,1.0,20,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4,No
143,144,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,144,3,Sales Executive,53210,9.0,14,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3,No
144,145,30,No,Travel_Rarely,Sales,5,4,Medical,145,2,Manufacturing Director,54100,0.0,17,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3,No
145,146,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,146,3,Research Scientist,27820,1.0,14,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3,No
146,147,28,No,Travel_Rarely,Research & Development,7,3,Medical,147,3,Healthcare Representative,119570,1.0,13,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3,No
147,148,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,148,3,Laboratory Technician,26600,5.0,13,0,6.0,3,2,0,2,1.0,1.0,3.0,3,3,Yes
148,149,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,149,2,Sales Representative,33750,2.0,21,0,28.0,2,5,0,4,4.0,3.0,3.0,2,4,No
149,150,45,No,Travel_Rarely,Research & Development,2,3,Medical,150,1,Sales Executive,50980,3.0,14,1,8.0,4,2,0,2,1.0,4.0,2.0,3,3,No
150,151,52,No,Travel_Rarely,Research & Development,12,3,Medical,151,2,Research Scientist,48780,2.0,11,1,31.0,3,5,1,4,4.0,4.0,1.0,3,3,No
151,152,42,No,Travel_Frequently,Sales,10,3,Marketing,152,2,Healthcare Representative,28370,2.0,13,1,19.0,0,5,0,2,1.0,3.0,3.0,2,3,No
152,153,30,No,Travel_Rarely,Sales,25,3,Marketing,153,1,Sales Executive,24060,2.0,20,1,11.0,5,5,0,2,3.0,4.0,3.0,3,4,No
153,154,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,154,1,Manufacturing Director,22690,5.0,18,1,33.0,4,29,11,10,1.0,1.0,1.0,3,3,No
154,155,46,No,Travel_Rarely,Sales,19,4,Marketing,155,1,Sales Executive,41080,2.0,14,0,19.0,5,10,0,8,3.0,3.0,2.0,2,3,No
155,156,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,156,4,Sales Executive,132060,0.0,13,2,7.0,2,6,0,4,4.0,4.0,4.0,3,3,No
156,157,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,157,1,Research Scientist,104220,1.0,17,1,6.0,0,5,1,4,1.0,2.0,3.0,2,3,Yes
157,158,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,158,2,Research Scientist,137440,0.0,20,1,3.0,3,2,1,0,4.0,3.0,2.0,3,4,Yes
158,159,38,No,Travel_Frequently,Sales,3,3,Marketing,159,2,Sales Executive,49070,1.0,11,1,1.0,3,1,0,0,4.0,4.0,3.0,3,3,No
159,160,40,No,Travel_Rarely,Sales,26,4,Marketing,160,1,Sales Executive,34820,0.0,18,1,21.0,2,20,1,12,3.0,3.0,3.0,2,3,No
